u,v,key,osmid,name,highway,oneway,length,geometry_wkt
255150951,1998337084,0,166266298,Jirón Carlos Rubina Burgos,residential,False,92.35089127833892,"LINESTRING (-70.030805 -15.8336584, -70.0299426 -15.8336208)"
255150951,1998337128,0,1042410883,Avenida Circunvalación,trunk,False,102.14078789047811,"LINESTRING (-70.030805 -15.8336584, -70.0308734 -15.8344635, -70.0308895 -15.8345732)"
255150951,2429634411,0,1042410883,Avenida Circunvalación,trunk,False,577.0986411304212,"LINESTRING (-70.030805 -15.8336584, -70.0307608 -15.8332494, -70.0307406 -15.8330533, -70.0307232 -15.8328352, -70.030687 -15.8326494, -70.0306106 -15.8324224, -70.0305113 -15.8322004, -70.0304448 -15.8320837, -70.0303299 -15.8318329, -70.0302275 -15.8315341, -70.0302045 -15.8312593, -70.0301973 -15.8311464, -70.0301897 -15.8310357, -70.0302 -15.8308839, -70.030212 -15.8307685, -70.0302373 -15.8306691, -70.0302746 -15.8305393, -70.0303878 -15.8303934, -70.0304708 -15.8302888, -70.0305901 -15.8301696, -70.03069 -15.8300772, -70.030788 -15.8299774, -70.0309037 -15.8298797, -70.0310374 -15.8297932, -70.0311499 -15.8297032, -70.0315574 -15.829474, -70.0318536 -15.8293301)"
255150990,5585292148,0,257154118,nan,residential,False,44.49202830592337,"LINESTRING (-70.0355354 -15.8396317, -70.03569 -15.8396403, -70.0359509 -15.8396491)"
255150990,2627548289,0,1042410883,Avenida Circunvalación,trunk,False,42.0591754574318,"LINESTRING (-70.0355354 -15.8396317, -70.0355118 -15.8398009, -70.035484 -15.8399375, -70.0354652 -15.8400034)"
255150990,1998337393,0,1042410883,Avenida Circunvalación,trunk,False,66.83047133941962,"LINESTRING (-70.0355354 -15.8396317, -70.0355258 -15.8391844, -70.0355193 -15.8390828, -70.0355086 -15.839032)"
255150992,2627548301,0,1042410883,Avenida Circunvalación,trunk,False,8.26531359444661,"LINESTRING (-70.03526 -15.8404418, -70.03523 -15.8405103)"
255150992,2429634682,0,234835392,nan,residential,False,124.49389368096578,"LINESTRING (-70.03526 -15.8404418, -70.0347467 -15.8401198, -70.034278 -15.8398411)"
255150992,2627548289,0,1042410883,Avenida Circunvalación,trunk,False,53.7010446065775,"LINESTRING (-70.03526 -15.8404418, -70.0353208 -15.8403474, -70.0353967 -15.8402009, -70.0354652 -15.8400034)"
255151019,1998337534,0,189172691,nan,tertiary,True,25.931562395696865,"LINESTRING (-70.0335368 -15.8415411, -70.0337523 -15.8416479)"
255151019,10907475963,0,1173891226,Avenida Circunvalación,trunk,True,10.958556590106944,"LINESTRING (-70.0335368 -15.8415411, -70.033475 -15.8416197)"
255151022,1998337665,0,23782100,Jirón Puno,residential,True,6.486633295044251,"LINESTRING (-70.032429 -15.8428101, -70.0323798 -15.842776)"
255151022,1998337801,0,1173891226,Avenida Circunvalación,trunk,True,73.39820120637772,"LINESTRING (-70.032429 -15.8428101, -70.0319367 -15.8432699)"
255151025,1998337960,0,189172733,Jirón Cusco,residential,False,5.848412110039768,"LINESTRING (-70.0299856 -15.8440209, -70.029966 -15.8439718)"
255151025,1998338011,0,1173891226,Avenida Circunvalación,trunk,True,60.3521611338807,"LINESTRING (-70.0299856 -15.8440209, -70.0294736 -15.8442489)"
255151040,1998338547,0,676139566,Jirón Chucuito,residential,False,107.69278458504704,"LINESTRING (-70.0258665 -15.845958, -70.0267538 -15.8464156)"
255151040,1998338426,0,676139566,Jirón Chucuito,residential,False,6.259337748005366,"LINESTRING (-70.0258665 -15.845958, -70.0258161 -15.8459294)"
255151040,255151043,0,1173891226,Avenida Circunvalación,trunk,True,88.71773222408457,"LINESTRING (-70.0258665 -15.845958, -70.0254634 -15.8463004, -70.0252801 -15.8465186)"
255151043,1998338555,0,189172540,Jirón Acora,residential,False,7.865632621728949,"LINESTRING (-70.0252801 -15.8465186, -70.0252162 -15.8464836)"
255151043,1998338587,0,189172540,Jirón Acora,residential,False,45.38709725955887,"LINESTRING (-70.0252801 -15.8465186, -70.0256505 -15.8467177)"
255151043,255151046,0,1173891226,Avenida Circunvalación,trunk,True,98.86780756159222,"LINESTRING (-70.0252801 -15.8465186, -70.0249401 -15.846838, -70.0247463 -15.8470058, -70.0245836 -15.847097)"
255151046,1998338639,0,189172738,nan,residential,False,6.396024975347725,"LINESTRING (-70.0245836 -15.847097, -70.0245333 -15.8470659)"
255151046,5585292254,0,1173891226,Avenida Circunvalación,trunk,True,31.639654694449792,"LINESTRING (-70.0245836 -15.847097, -70.0243094 -15.8472037)"
255151048,1998338704,0,189172728,Mariscal Nieto,residential,False,6.480376991703653,"LINESTRING (-70.0227757 -15.847996, -70.0227355 -15.8479524)"
255151048,5585292275,0,189172728,Mariscal Nieto,residential,False,51.00007402959782,"LINESTRING (-70.0227757 -15.847996, -70.0230398 -15.8483102, -70.0230775 -15.848351)"
255151048,9923614854,0,1237912390,Avenida Circunvalación,trunk,True,166.74152550219324,"LINESTRING (-70.0227757 -15.847996, -70.0226692 -15.8480431, -70.0224129 -15.8481866, -70.0222361 -15.8483435, -70.0221227 -15.8485144, -70.0220627 -15.8486874, -70.0220342 -15.8487961, -70.0220211 -15.8489129, -70.0220001 -15.8491675)"
255151064,1998339707,0,189172633,Jirón América,residential,False,97.58953134116274,"LINESTRING (-70.0156216 -15.8567327, -70.0148848 -15.8562151)"
255151064,1998406337,0,189188557,nan,residential,False,85.77885587819324,"LINESTRING (-70.0156216 -15.8567327, -70.0162503 -15.8572116)"
255151064,549921994,0,1237912392,Avenida Circunvalación,trunk,False,100.88577283570204,"LINESTRING (-70.0156216 -15.8567327, -70.0162259 -15.8560361)"
255151064,1998339731,0,1237912392,Avenida Circunvalación,trunk,False,63.73837987468973,"LINESTRING (-70.0156216 -15.8567327, -70.0154523 -15.8568648, -70.015354 -15.8569325, -70.0152543 -15.856983, -70.0151144 -15.8570171)"
255151091,10910637871,0,68881670,Avenida El Ejército,trunk,True,95.04310161646545,"LINESTRING (-70.0134571 -15.8548652, -70.0126639 -15.8552504)"
255151091,1998339626,0,374433781,Avenida Circunvalación,trunk,True,15.024835703866412,"LINESTRING (-70.0134571 -15.8548652, -70.0134546 -15.8547301)"
255151140,1998339521,0,68881665,Avenida El Ejército,secondary,True,118.54351509009248,"LINESTRING (-70.0159849 -15.8531401, -70.0150832 -15.8537599)"
255151140,1998406282,0,189188596,Jirón Francisco Paredes,residential,False,83.79889802066931,"LINESTRING (-70.0159849 -15.8531401, -70.0165303 -15.8536811)"
255151142,3761708687,0,68881665,Avenida El Ejército,secondary,True,15.564325976912231,"LINESTRING (-70.0186086 -15.8510522, -70.0184767 -15.8511113)"
255151142,1998339163,0,1085399383,nan,residential,False,11.66636814618468,"LINESTRING (-70.0186086 -15.8510522, -70.0185217 -15.8509888)"
255151142,1998339222,0,1085399383,nan,residential,False,7.931366956970519,"LINESTRING (-70.0186086 -15.8510522, -70.0186641 -15.8510995)"
255151142,9945564278,0,1085399387,Avenida 4 de Noviembre,residential,True,66.35315972729335,"LINESTRING (-70.0186086 -15.8510522, -70.0183595 -15.8515987)"
255151147,827317208,0,23774538,nan,tertiary,False,50.987966140849736,"LINESTRING (-70.0191964 -15.8491135, -70.0196366 -15.8492894)"
255151147,3761708678,0,23782015,Avenida El Sol,secondary,True,138.95766767453352,"LINESTRING (-70.0191964 -15.8491135, -70.0188123 -15.8503073)"
255151147,1998338867,0,1083035723,nan,tertiary,True,11.902801650412929,"LINESTRING (-70.0191964 -15.8491135, -70.0190898 -15.8490828)"
255151163,1998338876,0,23562942,Avenida Simón Bolívar,tertiary,True,66.859847826827,"LINESTRING (-70.0171698 -15.8485409, -70.0169752 -15.8491123)"
255151163,1998338793,0,189172725,Jirón Brandeen,residential,True,11.547702595751419,"LINESTRING (-70.0171698 -15.8485409, -70.0170619 -15.8485442)"
255151167,1998338168,0,23562942,Avenida Simón Bolívar,tertiary,True,57.221506630939516,"LINESTRING (-70.0185125 -15.8444354, -70.0183507 -15.8449259)"
255151167,1998338026,0,189172507,Jirón Echenique,residential,False,9.239675109429847,"LINESTRING (-70.0185125 -15.8444354, -70.0184299 -15.8444111)"
255151167,409475583,0,189172507,Jirón Echenique,residential,False,126.70813014096886,"LINESTRING (-70.0185125 -15.8444354, -70.0196505 -15.8447516)"
255151170,1998338098,0,23562940,nan,residential,False,56.665640624480346,"LINESTRING (-70.0176196 -15.8441721, -70.0174663 -15.8446599)"
255151170,1998338026,0,189172507,Jirón Echenique,residential,False,90.66074043173909,"LINESTRING (-70.0176196 -15.8441721, -70.0184299 -15.8444111)"
255151170,255151500,0,23562940,nan,residential,False,93.63179684352978,"LINESTRING (-70.0176196 -15.8441721, -70.0176331 -15.8441294, -70.017874 -15.8433664)"
255151500,1998337809,0,23562940,nan,residential,False,8.891230425986588,"LINESTRING (-70.017874 -15.8433664, -70.0179031 -15.8432915)"
255151500,255151170,0,23562940,nan,residential,False,93.63179684352978,"LINESTRING (-70.017874 -15.8433664, -70.0176331 -15.8441294, -70.0176196 -15.8441721)"
255151507,1998337966,0,23562942,Avenida Simón Bolívar,tertiary,True,42.43633425330085,"LINESTRING (-70.0187674 -15.8436348, -70.0186512 -15.8439997)"
255151507,1998337896,0,23774540,Jirón Victoria,tertiary,True,9.160923315595353,"LINESTRING (-70.0187674 -15.8436348, -70.0186857 -15.8436101)"
255151512,409475584,0,23562942,Avenida Simón Bolívar,tertiary,True,86.89094219606237,"LINESTRING (-70.0192389 -15.8422245, -70.0189928 -15.8429692)"
255151512,1998337603,0,225654618,nan,residential,False,37.162564886605615,"LINESTRING (-70.0192389 -15.8422245, -70.0195683 -15.8423307)"
255151512,1998337594,0,225654618,nan,residential,False,9.58192728906155,"LINESTRING (-70.0192389 -15.8422245, -70.0191535 -15.8421985)"
255151518,1998337681,0,189172569,nan,residential,False,45.63187684019307,"LINESTRING (-70.0201286 -15.8425033, -70.0199921 -15.8428921)"
255151518,1998337637,0,225654618,nan,residential,False,42.501381459580415,"LINESTRING (-70.0201286 -15.8425033, -70.0205092 -15.842613)"
255151518,1998337615,0,225654618,nan,residential,False,25.180851471543836,"LINESTRING (-70.0201286 -15.8425033, -70.019904 -15.8424355)"
255151522,409475586,0,23782015,Avenida El Sol,secondary,True,112.53394947932699,"LINESTRING (-70.0211538 -15.842817, -70.0208569 -15.8437879)"
255151522,1998337662,0,225654618,nan,residential,False,12.378226767106884,"LINESTRING (-70.0211538 -15.842817, -70.0210447 -15.8427799)"
255151527,1998337530,0,23782072,Jirón R. Palma,residential,False,11.226326968287944,"LINESTRING (-70.0215226 -15.8416114, -70.0214242 -15.8415763)"
255151527,1998337557,0,23782072,Jirón R. Palma,residential,False,71.85564086638769,"LINESTRING (-70.0215226 -15.8416114, -70.0221134 -15.8419189)"
255151527,255151522,0,23782015,Avenida El Sol,secondary,True,139.74124095385366,"LINESTRING (-70.0215226 -15.8416114, -70.0214472 -15.841858, -70.0211538 -15.842817)"
255151531,255151535,0,23788978,Jirón Tacna,residential,True,50.01055397576015,"LINESTRING (-70.0235667 -15.8427542, -70.0238691 -15.8424112)"
255151531,1998337557,0,23782072,Jirón R. Palma,residential,False,181.09463249132455,"LINESTRING (-70.0235667 -15.8427542, -70.0226737 -15.8422409, -70.0221134 -15.8419189)"
255151535,1064787868,0,23788978,Jirón Tacna,residential,True,134.93465546983208,"LINESTRING (-70.0238691 -15.8424112, -70.0246369 -15.8414484)"
255151535,255151539,0,189172587,nan,residential,False,133.49026621855302,"LINESTRING (-70.0238691 -15.8424112, -70.0250058 -15.8429066)"
255151539,255151535,0,189172587,nan,residential,False,133.49026621855302,"LINESTRING (-70.0250058 -15.8429066, -70.0238691 -15.8424112)"
255151539,1998337731,0,676346906,Jirón Moquegua,tertiary,True,12.469198735583294,"LINESTRING (-70.0250058 -15.8429066, -70.0249646 -15.8430115)"
255151546,827317137,0,23788977,Cajamarca,residential,True,88.35341113125585,"LINESTRING (-70.0259423 -15.8408769, -70.0267107 -15.8411683)"
255151546,1998337545,0,676255344,Jirón Moquegua,tertiary,True,102.82715448880887,"LINESTRING (-70.0259423 -15.8408769, -70.0255827 -15.8417345)"
257542676,1998337572,0,189172741,Jirón Lima,residential,True,76.69844669667611,"LINESTRING (-70.0274168 -15.8414361, -70.0272365 -15.8421037)"
257542676,409476467,0,676139563,Cajamarca,residential,True,64.23743254311967,"LINESTRING (-70.0274168 -15.8414361, -70.0279839 -15.8416261)"
257542676,827317210,0,"[23782466, 1195990999]","['Jirón Puno', 'Jirón Lima']",residential,False,157.09262175256617,"LINESTRING (-70.0274168 -15.8414361, -70.0276205 -15.8407638, -70.0269257 -15.8405171)"
257542677,255151546,0,23788977,Cajamarca,residential,True,78.47363198359997,"LINESTRING (-70.0252599 -15.8406179, -70.0259423 -15.8408769)"
257542677,257542678,0,23788978,Jirón Tacna,residential,True,73.36702726237976,"LINESTRING (-70.0252599 -15.8406179, -70.0256073 -15.840049)"
257542678,409475574,0,23788978,Jirón Tacna,residential,True,68.42578661094844,"LINESTRING (-70.0256073 -15.840049, -70.0259063 -15.839505)"
257542678,1998337427,0,316747739,Jirón El Puerto,tertiary,True,108.40715230622295,"LINESTRING (-70.0256073 -15.840049, -70.0246909 -15.8397215, -70.0246574 -15.8397093)"
257542682,257543853,0,34906061,Jirón Oquendo,residential,False,9.007334564530995,"LINESTRING (-70.0261985 -15.8372055, -70.0261165 -15.8371871)"
257542682,3780390398,0,371913211,Jirón Oquendo,residential,True,92.10866358971492,"LINESTRING (-70.0261985 -15.8372055, -70.0270467 -15.837348)"
257542685,1998337362,0,1173898842,Jirón Lambayeque,residential,False,88.39786308790755,"LINESTRING (-70.028235 -15.8382105, -70.0290481 -15.8383523)"
257542687,827317131,0,1195991003,Jirón Deustua,residential,False,77.06973095357718,"LINESTRING (-70.0277797 -15.8402054, -70.0271081 -15.8399545)"
257542691,2365988713,0,225903399,Jirón Ilave,residential,False,20.61158290847106,"LINESTRING (-70.0303639 -15.8385524, -70.0303279 -15.8387345)"
257542691,1998337360,0,62145183,Jirón Lambayeque,residential,False,91.1332769193847,"LINESTRING (-70.0303639 -15.8385524, -70.0307771 -15.8384734, -70.0311731 -15.8383106)"
257542692,257542693,0,676139562,Cajamarca,residential,True,80.70601418273357,"LINESTRING (-70.0292349 -15.8419935, -70.0298896 -15.8423542)"
257542692,5816367452,0,676142078,Jirón Ilave,residential,False,63.62275505910164,"LINESTRING (-70.0292349 -15.8419935, -70.0294721 -15.8414688)"
257542692,257684375,0,676142079,Jirón Ilave,residential,False,56.38162774795451,"LINESTRING (-70.0292349 -15.8419935, -70.0290245 -15.8424584)"
257542693,1998337621,0,676142077,Cajamarca,residential,True,72.8944022205672,"LINESTRING (-70.0298896 -15.8423542, -70.0305491 -15.8425192)"
257542693,257542694,0,676142084,Jirón Cusco,residential,False,32.42253324932459,"LINESTRING (-70.0298896 -15.8423542, -70.0297985 -15.8426323)"
257542694,1998337663,0,676142084,Jirón Cusco,residential,False,16.511778271637542,"LINESTRING (-70.0297985 -15.8426323, -70.0297239 -15.8427623)"
257542694,257542693,0,676142084,Jirón Cusco,residential,False,32.42253324932459,"LINESTRING (-70.0297985 -15.8426323, -70.0298896 -15.8423542)"
257542694,257542696,0,189172543,Jirón Huancané,residential,False,79.01867927422279,"LINESTRING (-70.0297985 -15.8426323, -70.0299925 -15.8427607, -70.0300259 -15.8427869, -70.0300501 -15.8428223, -70.0301978 -15.8431965)"
257542696,1998337918,0,189172543,Jirón Huancané,residential,False,69.37486707062648,"LINESTRING (-70.0301978 -15.8431965, -70.0304184 -15.8437832)"
257542696,1998337840,0,189172605,Jirón Coronel Barriga,residential,False,51.35170460023288,"LINESTRING (-70.0301978 -15.8431965, -70.0297693 -15.8434047)"
257542696,1998337743,0,189172605,Jirón Coronel Barriga,residential,False,52.65129781313374,"LINESTRING (-70.0301978 -15.8431965, -70.0306606 -15.8430353)"
257542696,257542694,0,189172543,Jirón Huancané,residential,False,79.01867927422278,"LINESTRING (-70.0301978 -15.8431965, -70.0300501 -15.8428223, -70.0300259 -15.8427869, -70.0299925 -15.8427607, -70.0297985 -15.8426323)"
257543849,409475580,0,676255345,Jirón Moquegua,tertiary,True,67.73258675264205,"LINESTRING (-70.0266682 -15.8391364, -70.0264347 -15.8397026)"
257543849,6335731256,0,676577205,nan,residential,False,55.19127886635427,"LINESTRING (-70.0266682 -15.8391364, -70.0261894 -15.8389515)"
257543850,1064787821,0,166266301,Jirón Independencia,residential,False,97.45175732334287,"LINESTRING (-70.0285357 -15.8366186, -70.0287273 -15.8357618)"
257543850,1998337299,0,166266301,Jirón Independencia,residential,False,89.4380542677815,"LINESTRING (-70.0285357 -15.8366186, -70.0283813 -15.8374091)"
257543850,1998337248,0,189172751,Jirón Deza,residential,True,85.82265110073797,"LINESTRING (-70.0285357 -15.8366186, -70.0285722 -15.8366244, -70.0293223 -15.8367703)"
257543851,1998337205,0,676181597,nan,residential,True,98.4848889231429,"LINESTRING (-70.0280174 -15.8365131, -70.0281894 -15.835643)"
257543851,257543850,0,1085367822,Jirón Deza,residential,True,56.6723669687575,"LINESTRING (-70.0280174 -15.8365131, -70.0285357 -15.8366186)"
257543851,1998337256,0,1085367823,nan,residential,False,112.71337078373938,"LINESTRING (-70.0280174 -15.8365131, -70.0278463 -15.8375133)"
257543852,472283730,0,29092912,Jirón Deza,residential,True,82.43464056029848,"LINESTRING (-70.026529 -15.8362101, -70.0272829 -15.8363636)"
257543852,10907266188,0,1181265214,Jirón Deza,residential,False,7.8449996958605155,"LINESTRING (-70.026529 -15.8362101, -70.0264578 -15.8361932)"
257543852,257543853,0,676255348,Avenida La Torre,secondary,True,117.25748522994331,"LINESTRING (-70.026529 -15.8362101, -70.0263024 -15.8367469, -70.0261165 -15.8371871)"
257543853,257542682,0,34906061,Jirón Oquendo,residential,False,9.007334564530995,"LINESTRING (-70.0261165 -15.8371871, -70.0261985 -15.8372055)"
257543853,1998337280,0,73898043,Jirón Cahuide,secondary,False,7.865549123684404,"LINESTRING (-70.0261165 -15.8371871, -70.0260439 -15.8371759)"
257543854,409475576,0,371913210,Jirón Cahuide,secondary,True,56.656596013301325,"LINESTRING (-70.0257194 -15.8371682, -70.0253505 -15.8375338)"
257543854,1998337278,0,1085367824,Jirón Los Incas,secondary,True,8.266429562921532,"LINESTRING (-70.0257194 -15.8371682, -70.0256497 -15.8371361)"
257543855,9316547586,0,1083039591,nan,tertiary,True,12.395482828199354,"LINESTRING (-70.0237364 -15.8386405, -70.0237796 -15.8386899, -70.023811 -15.8387258)"
257543855,1612153541,0,1083039593,Jirón Cahuide,secondary,True,81.9227657371883,"LINESTRING (-70.0237364 -15.8386405, -70.0240179 -15.8384987, -70.024396 -15.8382674)"
257543856,409476471,0,34906160,Avenida Costanera,tertiary,False,12.054349287032831,"LINESTRING (-70.0178097 -15.8364143, -70.0178084 -15.8365227)"
257543856,1998337252,0,189172508,Titicaca,tertiary,True,133.34533570467022,"LINESTRING (-70.0178097 -15.8364143, -70.0189742 -15.8368421)"
257543856,1998337201,0,23782264,Avenida Costanera,tertiary,False,93.4373572012098,"LINESTRING (-70.0178097 -15.8364143, -70.017811 -15.8363707, -70.0178325 -15.8356685, -70.0178365 -15.8355744)"
257543863,9315749796,0,1208883961,Titicaca,tertiary,True,10.944172276897634,"LINESTRING (-70.0225326 -15.8382797, -70.0224341 -15.8382531)"
257543863,9309943425,0,"[1208883953, 676763599]",Avenida El Sol,tertiary,True,61.42689741455415,"LINESTRING (-70.0225326 -15.8382797, -70.0224997 -15.8383835, -70.0223651 -15.8388081)"
257543866,257543855,0,189172762,nan,secondary,True,12.453935382093807,"LINESTRING (-70.023636 -15.8386972, -70.0237364 -15.8386405)"
257543866,10909998394,0,1208883948,Titicaca,tertiary,True,11.795131145752569,"LINESTRING (-70.023636 -15.8386972, -70.0235362 -15.8386521)"
257590113,1998337311,0,1208883960,Titicaca,tertiary,True,7.708446985828605,"LINESTRING (-70.0208417 -15.8376527, -70.0207752 -15.837626)"
257590113,1064787877,0,"[1208883962, 23562942]",Avenida Simón Bolívar,tertiary,True,64.13080433545335,"LINESTRING (-70.0208417 -15.8376527, -70.020827 -15.8376944, -70.0206492 -15.8381989)"
257590114,10907475958,0,189172589,Jirón 29 de Junio,residential,True,7.938605212385029,"LINESTRING (-70.0221508 -15.8335759, -70.0220787 -15.833559)"
257590114,6049894610,0,1208883970,Avenida Simón Bolívar,tertiary,True,82.03014764121852,"LINESTRING (-70.0221508 -15.8335759, -70.0219308 -15.8342826)"
257590115,1998336997,0,139766637,nan,tertiary,True,6.83219672787354,"LINESTRING (-70.0224753 -15.832146, -70.0224143 -15.8321278)"
257590115,1998337022,0,1208883970,Avenida Simón Bolívar,tertiary,True,71.47917697282577,"LINESTRING (-70.0224753 -15.832146, -70.0224058 -15.8325032, -70.0223661 -15.83278)"
257590118,2429634427,0,139766637,nan,tertiary,True,49.37343277464456,"LINESTRING (-70.0190698 -15.8299992, -70.0187042 -15.8297282)"
257590118,8078661298,0,23782264,Avenida Costanera,tertiary,False,207.17932431653827,"LINESTRING (-70.0190698 -15.8299992, -70.0190452 -15.8300834, -70.0190663 -15.830318, -70.0191991 -15.8306018, -70.0192997 -15.8310031, -70.0193198 -15.8311747, -70.0193118 -15.8314469, -70.0192227 -15.8318081)"
257590118,7197210989,0,1083041945,Avenida Costanera,tertiary,False,28.955240076087883,"LINESTRING (-70.0190698 -15.8299992, -70.0191028 -15.8299753, -70.0192826 -15.8298383)"
257591511,257542692,0,676139562,Cajamarca,residential,True,73.65057953946902,"LINESTRING (-70.0285801 -15.8417888, -70.0292349 -15.8419935)"
257591511,1998337602,0,1085187538,Jirón Áncash,residential,True,62.49615428063912,"LINESTRING (-70.0285801 -15.8417888, -70.028349 -15.842305)"
257591512,257591511,0,1085187538,Jirón Áncash,residential,True,68.21765298101438,"LINESTRING (-70.0288016 -15.8412135, -70.0285801 -15.8417888)"
257591512,11098800297,0,1195991002,Jirón Puno,residential,False,43.49782226203477,"LINESTRING (-70.0288016 -15.8412135, -70.0284271 -15.8410611)"
257682284,1998337481,0,702317248,Jirón Carabaya,residential,False,36.99282763869029,"LINESTRING (-70.0221666 -15.8404152, -70.0224847 -15.8405457)"
